,addresses
woo-network,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x4691937a7508860f876c9c0a2a617e7d9e945d4b'}, 'zksync': {'decimal_place': None, 'contract_address': '0x9e22d758629761fc5708c171d06c2fabb60b5159'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4691937a7508860f876c9c0a2a617e7d9e945d4b'}, 'solana': {'decimal_place': 6, 'contract_address': 'E5rk3nmgLUuKUiS94gg4bpWwWwyjCMtddsAXkTFLtHEy'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xabc9547b534519ff73921b1fba6e672b5f58d083'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0x3befb2308bce92da97264077faf37dcd6c8a75e6'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x6626c47c00f1d87902fc13eecfac3ed06d5e8d8a'}, 'okex-chain': {'decimal_place': None, 'contract_address': '0x5427a224e50a9af4d030aeecd2a686d41f348dfe'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '4691937a7508860f876c9c0a2a617e7d9e945d4b.factory.bridge.near'}}"
wepiggy-coin,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x6f620ec89b8479e97a6985792d0c64f237566746'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x6f620ec89b8479e97a6985792d0c64f237566746'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x6f620ec89b8479e97a6985792d0c64f237566746'}, 'okex-chain': {'decimal_place': 18, 'contract_address': '0x6f620ec89b8479e97a6985792d0c64f237566746'}}"
wrap-governance-token,"{'tezos': {'decimal_place': None, 'contract_address': 'KT1LRboPna9yQY9BrjtQYDS1DVxhKESK4VVd'}}"
wingriders,"{'cardano': {'decimal_place': 6, 'contract_address': 'c0ee29a85b13209423b10447d3c2e6a50641a15c57770e27cb9d507357696e67526964657273'}}"
waterfall-governance-token,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd73f32833b6d5d9c8070c23e599e283a3039823c'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x873801ae2ff12d816db9a7b082f5796bec64c82c'}}"
wirex,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xa02120696c7b8fe16c09c749e4598819b2b0e915'}, 'stellar': {'decimal_place': None, 'contract_address': 'WXT-GASBLVHS5FOABSDNW5SPPH3QRJYXY5JHA2AOA2QHH2FJLZBRXSG4SWXT'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0xfcde4a87b8b6fa58326bb462882f1778158b02f1'}}"
wynd,"{'cosmos': {'decimal_place': 6, 'contract_address': 'juno1mkw83sv6c7sjdvsaplrzc8yaes9l42p4mhy0ssuxjnyzl87c9eps7ce3m9'}}"
waves-exchange,"{'waves': {'decimal_place': 8, 'contract_address': 'Atqv59EYzjFGuitKVnMRk6H8FukjoV3ktPorbEys25on'}}"
gibx-swap,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xae28714390e95b8df1ef847c58aeac23ed457702'}}"
x2y2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9'}}"
3xcalibur,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xd2568accd10a4c98e87c44e9920360031ad89fcb'}}"
xdefi-governance-token,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x000000000000d0151e748d25b766e77efe2a6c83'}}"
mars-ecosystem-token,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x7859b01bbf675d67da8cd128a50d155cd881b576'}}"
metalswap,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x3e5d9d8a63cc8a88748f229999cf59487e90721e'}, 'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0x3e5d9d8a63cc8a88748f229999cf59487e90721e'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x582c12b30f85162fa393e5dbe2573f9f601f9d91'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xadbe0eac80f955363f4ff47b0f70189093908c04'}}"
thorstarter,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x69fa0fee221ad11012bab0fdb45d444d3d2ce71c'}, 'terra': {'decimal_place': 6, 'contract_address': 'terra1td743l5k5cmfy7tqq202g7vkmdvq35q48u2jfm'}, 'fantom': {'decimal_place': 18, 'contract_address': '0xe1e6b01ae86ad82b1f1b4eb413b219ac32e17bf6'}}"
xswap-protocol,"{'xdc-network': {'decimal_place': 18, 'contract_address': 'xdc36726235dadbdb4658d33e62a249dca7c4b2bc68'}}"
xtoken,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x7f3edcdd180dbe4819bd98fee8929b5cedb3adeb'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0xf0a5717ec0883ee56438932b0fe4a20822735fba'}}"
venus,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63'}}"
xwin-finance,"{'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xd88ca08d8eec1e9e09562213ae83a7853ebb5d28'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x6cd6cb131764c704ba9167c29930fbdc38901ab7'}}"
xy-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x77777777772cf0455fb38ee0e75f38034dfa50de'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x666666661f9b6d8c581602aaa2f76cbead06c401'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0x55555555a687343c6ce28c8e1f6641dc71659fad'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x444444443b0fcb2733b93f23c910580fba52fffa'}}"
universe-xyz,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x618679df9efcd19694bb1daa8d00718eacfa2883'}}"
y2k,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x65c936f008bc34fe819bce9fa5afd9dc2d49977f'}}"
yield-yak,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x59414b3089ce2af0010e7523dea7e2b35d776ec7'}}"
yam-2,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0aacfbec6a24756c20d41914f2caba817c0d8521'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0x7202adf025cbd1cc9411fd56e3cc8ef2e9dffa9d'}}"
yeti-finance,"{'avalanche': {'decimal_place': 18, 'contract_address': '0x77777777777d4554c39223c354a05825b2e8faa3'}}"
yearn-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e'}, 'xdai': {'decimal_place': 18, 'contract_address': '0xbf65bfcb5da067446cee6a706ba3fe2fb1a9fdfd'}, 'near-protocol': {'decimal_place': 18, 'contract_address': '0bc529c00c6401aef6d220be8c6ea1667f6ad93e.factory.bridge.near'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0xb4f019beac758abbee2f906033aaa2f0f6dacb35'}, 'polygon-pos': {'decimal_place': 18, 'contract_address': '0xda537104d6a5edd53c6fbba9a898708e465260b6'}, 'avalanche': {'decimal_place': 18, 'contract_address': '0x9eaac1b23d935365bd7b542fe22ceee2922f52dc'}, 'harmony-shard-0': {'decimal_place': 18, 'contract_address': '0xa0dc05f84a27fccbd341305839019ab86576bc07'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x29b0da86e484e1c0029b56e817912d778ac0ec69'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x82e3a8f066a6989666b031d916c43672085b1582'}, 'sora': {'decimal_place': 18, 'contract_address': '0x002676c3edea5b08bc0f9b6809a91aa313b7da35e28b190222e9dc032bf1e662'}, 'energi': {'decimal_place': 18, 'contract_address': '0x2726dd5efb3a209a54c512e9562a2045b8f45dbc'}}"
yfx,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xf55a93b613d172b86c2ba3981a849dae2aecde2f'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0xf55a93b613d172b86c2ba3981a849dae2aecde2f'}, 'tron': {'decimal_place': 18, 'contract_address': 'TAP7qf8Ao26ZAKYS5E6SGozUNoSLvBHsGa'}, 'huobi-token': {'decimal_place': 18, 'contract_address': '0xf55a93b613d172b86c2ba3981a849dae2aecde2f'}}"
yodeswap,"{'dogechain': {'decimal_place': 18, 'contract_address': '0x6fc4563460d5f45932c473334d5c1c5b4aea0e01'}}"
yokaiswap,"{'': {'decimal_place': None, 'contract_address': ''}}"
yoshi-exchange,"{'fantom': {'decimal_place': 18, 'contract_address': '0x3dc57b391262e3aae37a08d91241f9ba9d58b570'}, 'binance-smart-chain': {'decimal_place': 18, 'contract_address': '0x4374f26f0148a6331905edf4cd33b89d8eed78d1'}}"
youves-you-governance,"{'tezos': {'decimal_place': None, 'contract_address': 'KT1Xobej4mc6XgEjDoJoHtTKgbD1ELMvcQuL'}}"
zkswap-finance,"{'zksync': {'decimal_place': 18, 'contract_address': '0x31c2c031fdc9d33e974f327ab0d9883eae06ca4a'}}"
zipswap,"{'optimistic-ethereum': {'decimal_place': 18, 'contract_address': '0xfa436399d0458dbe8ab890c3441256e3e09022a8'}}"
zenlink-network-token,"{'moonriver': {'decimal_place': 18, 'contract_address': '0x0f47ba9d9bde3442b42175e51d6a367928a1173b'}, 'astar': {'decimal_place': 18, 'contract_address': '0x998082c488e548820f970df5173bd2061ce90635'}}"
zoomswap,"{'iotex': {'decimal_place': 18, 'contract_address': '0xf87aed04889a1dd0159d9c22b0d57b345ab16ddd'}}"
zoodao,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x09f098b155d561fc9f7bccc97038b7e3d20baf74'}, 'moonbeam': {'decimal_place': 18, 'contract_address': '0x7cd3e6e1a69409def0d78d17a492e8e143f40ec5'}, 'fantom': {'decimal_place': 18, 'contract_address': '0x1ac0c9592e2480649e9471c1548f60564b37a46b'}, 'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x1689a6e1f09658ff37d0bb131514e701045876da'}}"
zilswap,"{'': {'decimal_place': None, 'contract_address': 'zil1p5suryq6q647usxczale29cu3336hhp376c627'}}"
zyberswap,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x3b475f6f2f41853706afc9fa6a6b8c5df1a2724c'}}"
acala-dollar-acala,"{'': {'decimal_place': None, 'contract_address': ''}, 'moonbeam': {'decimal_place': 12, 'contract_address': '0xffffffff52c56a9257bb97f4b2b6f7b2d624ecda'}}"
boosted-lusd,"{'ethereum': {'decimal_place': 18, 'contract_address': '0xb9d7dddca9a4ac480991865efef82e01273f79c3'}}"
crunchy-dao,"{'tezos': {'decimal_place': None, 'contract_address': 'KT1XPFjZqCULSnqfKaaYy8hJjeY63UNSGwXg'}}"
dam-finance,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x2fda8c6783aa36bed645bad28a4cdc8769dcd252'}, 'moonbeam': {'decimal_place': 18, 'contract_address': '0xc806b0600cbafa0b197562a9f7e3b9856866e9bf'}}"
unfederalreserve,"{'ethereum': {'decimal_place': 18, 'contract_address': '0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6'}}"
algomint,"{'algorand': {'decimal_place': 6, 'contract_address': '441139422'}}"
kolibri-dao,"{'tezos': {'decimal_place': None, 'contract_address': 'KT1JkoE42rrMBP9b2oDhbx6EUr26GcySZMUH'}}"
the-ennead,"{'arbitrum-one': {'decimal_place': 18, 'contract_address': '0x40301951af3f80b8c1744ca77e55111dd3c1dba1'}}"
